question_topic,mean_rating,condition,chain,generation,question,story_topic,story_reproduction
author_belief,80.34615384615384,strong evidence,0,0,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",arson,"Since mid-April 2018, a region in Bavaria, Germany, has faced a series of fires set by one or more vandals that ignited trash cans, a car, and even an entire town house. At its peak, 8 different fires were started in a single night. Fortunately, nobody was hurt, but the material damages are estimated at around $450,000. The police could not make significant advances in finding the perpetrator until they publicly offered a reward of $6000 for each helpful tip. A crumpled-up black shirt found at one of the crime scenes and bearing a unique design may have been the critical clue. About a week ago, the police arrested a 37 year old suspect on charges of second-degree arson. According to recent reports, experts believe that the existing evidence leaves no doubt about his guilt."
author_belief,76,strong evidence,0,0,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"In late December 2017, a couple in Iowa was checking on their 50 beehives when they discovered a tragic scene. The hives had been overturned and hacked apart, and the equipment had been thrown out of the shed and smashed. This destruction caused the death of about half a million bees and approximately $60,000 in property damage. Nearly three weeks later, police arrested two boys (12 and 13 years old) who, allegedly, were responsible for the damage. The charges against them include criminal mischief, burglary, and offenses to an agricultural animal facility. Since they are still minors, they will be charged in juvenile court where they face up to 10 years in prison and fines of up to $10,000 if convicted. Police officials explained that the investigation is still in progress, but the evidence so far overwhelmingly speaks to the guilt of the suspects."
author_belief,81.53571428571429,strong evidence,0,0,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",professor,"A professor in the Neuroscience department at Corsen University has been accused of sexual harassment. 11 women, all of them former graduate students in the department, have come forward with stories about Prof. Jim Smith. The list of allegations against Smith includes frequently commenting on women's appearance, forcing students to have meetings with him in his private home, and hosting several hot-tub parties that included nudity, which students were present at. Witnesses also claim that it was well-known that Smith engaged in a series of quid pro quo sexual relationships with his female graduate students. An independent investigation by an external law firm was commissioned. If found guilty of sexual harassment, Smith may be suspended for an indefinite amount of time or even fired, a rarity for tenured professors. The report by the official investigation is based on testimony about his character by over 100 of his current and former students, and indicates that Smith clearly showed a pattern of predatory behavior."
author_belief,92,strong evidence,0,0,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",scam,"On August 30 2018, 30,000 internet users in Spain received an email with the subject line 'Immediate response required - copyright infringement'. In these emails, the recipients were accused of illegally distributing pornographic content and were instructed to pay $11,500 by the end of September to avoid a lawsuit. Searching for the email address online leads to an official law firm website located in Barcelona. Shortly after the emails were sent out, the law firm disowned them, calling them a hoax. So far, police officials estimate that approximately 5% of the recipients have paid the money. This sums to more than $17 million that have been paid to the scammers. Now, nearly 4 weeks later, the police have tracked down the internet cafe from which the emails were sent. After observing the cafe's camera footage, the police arrested a man and a woman (both 52) who were allegedly responsible for the scam. If found guilty, they face up to 9 years in prison. Moreover, news outlets recently acquired access to the camera footage and found that the video material is of very high quality and therefore undoubtedly reliable."
author_belief,86.39285714285714,strong evidence,0,0,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"Thanks to a routine cargo vessel check, the Indonesian police were able to prevent a smuggling attempt. They found about 150 exotic birds stuffed into plastic drain pipes that were sealed at each end by a wire. The animals were meant to be transported to the US, where they were to be sold as pets. Officials assume that the operation was planned and executed by a wildlife trafficking ring. This delivery would have been worth approximately $250,000. Nearly one week after discovering the illegally captured birds, the police arrested four men who purportedly attempted to commit the smuggling. The suspects face up to five years in prison and a fine of up to $8000 if found guilty. The case rests on several eyewitness reports, which provide a very strong case for the suspects' guilt. Moreover, the suspects' testimonies have been found to contain inconsistencies. Thus, it seems very likely that they were involved."
author_belief,91.5,strong evidence,0afz3n7ExI3JFihE,1,How much does the author believe that the suspect  is guilty?,scam,"There was a scam in Spain that sold over a million of dollars from its users. They asked for payment too avoid being sued, when you clicked the link it took you to a legit law firm. About 5% of the people paid."
author_belief,78.70588235294117,strong evidence,0afz3n7ExI3JFihE,2,How much does the author believe that the suspect  is guilty?,scam,Scammer in Spain managed to scam millions of dollars out of people. This was in the form of a sign up button that 5% of users clicked on.
author_belief,89.75,strong evidence,0afz3n7ExI3JFihE,3,How much does the author believe that the suspect  is guilty?,scam,Scammer in Spain managed to scam millions of dollars out of people. This was in the form of a sign up button that 5% of users clicked on.
author_belief,83.66666666666667,strong evidence,0afz3n7ExI3JFihE,4,How much does the author believe that the suspect  is guilty?,scam,A scammer in Spain managed to scam millions of dollars out of people. The scammer used a sign up button to get 5% out of the users.
author_belief,81.85714285714286,strong evidence,0afz3n7ExI3JFihE,5,How much does the author believe that the suspect  is guilty?,scam,A scammer in Spain scammed millions of people. The scammer used a sign-up button which scammed 5% of the people.
author_belief,81.45,strong evidence,7klPub4fVaS25llR,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"Thanks to a routine cargo check, Indonesian authorities were able to stop a smuggling attempt. They found 150 exotic birds stuffed into drain pipes which were sealed on each end by wire. The smuggling was likely attempted by an animal trafficking ring and would be sold in the US as pets for a profit of $250,000. Nearly a week later, four men were arrested as suspects -- each facing 5 years in prison and fines of $8000."
author_belief,70.3125,strong evidence,7klPub4fVaS25llR,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"An animal trafficking ring was stopped in Indonesia after a routine cargo check. They found exotic birds stuffed in drain pipes. These birds would have been sold in the US for profits up to $250,000. If the smugglers are found guilty, they will have to serve time and pay fines up to $8000 each."
