story_tokenized,tensor,story_id,story,token_id,story_cond,hedges
on,2006,0,'scam_free',0,'scam_free',T
august,2257,0,'scam_free',1,'scam_free',T
30,2382,0,'scam_free',2,'scam_free',T
2018,2760,0,'scam_free',3,'scam_free',T
",",1010,0,'scam_free',4,'scam_free',T
30,2382,0,'scam_free',5,'scam_free',T
",",1010,0,'scam_free',6,'scam_free',T
000,2199,0,'scam_free',7,'scam_free',T
internet,4274,0,'scam_free',8,'scam_free',T
users,5198,0,'scam_free',9,'scam_free',T
in,1999,0,'scam_free',10,'scam_free',T
spain,3577,0,'scam_free',11,'scam_free',T
received,2363,0,'scam_free',12,'scam_free',T
an,2019,0,'scam_free',13,'scam_free',T
email,10373,0,'scam_free',14,'scam_free',T
with,2007,0,'scam_free',15,'scam_free',T
the,1996,0,'scam_free',16,'scam_free',T
subject,3395,0,'scam_free',17,'scam_free',T
line,2240,0,'scam_free',18,'scam_free',T
',1005,0,'scam_free',19,'scam_free',T
immediate,6234,0,'scam_free',20,'scam_free',T
response,3433,0,'scam_free',21,'scam_free',T
required,3223,0,'scam_free',22,'scam_free',T
-,1011,0,'scam_free',23,'scam_free',T
copyright,9385,0,'scam_free',24,'scam_free',T
infringement,20701,0,'scam_free',25,'scam_free',T
',1005,0,'scam_free',26,'scam_free',T
.,1012,0,'scam_free',27,'scam_free',T
in,1999,0,'scam_free',28,'scam_free',T
these,2122,0,'scam_free',29,'scam_free',T
emails,22028,0,'scam_free',30,'scam_free',T
",",1010,0,'scam_free',31,'scam_free',T
the,1996,0,'scam_free',32,'scam_free',T
recipients,15991,0,'scam_free',33,'scam_free',T
were,2020,0,'scam_free',34,'scam_free',T
accused,5496,0,'scam_free',35,'scam_free',T
of,1997,0,'scam_free',36,'scam_free',T
illegally,17800,0,'scam_free',37,'scam_free',T
distributing,20083,0,'scam_free',38,'scam_free',T
pornographic,26932,0,'scam_free',39,'scam_free',T
content,4180,0,'scam_free',40,'scam_free',T
and,1998,0,'scam_free',41,'scam_free',T
were,2020,0,'scam_free',42,'scam_free',T
instructed,10290,0,'scam_free',43,'scam_free',T
to,2000,0,'scam_free',44,'scam_free',T
pay,3477,0,'scam_free',45,'scam_free',T
$,1002,0,'scam_free',46,'scam_free',T
11,2340,0,'scam_free',47,'scam_free',T
",",1010,0,'scam_free',48,'scam_free',T
500,3156,0,'scam_free',49,'scam_free',T
by,2011,0,'scam_free',50,'scam_free',T
the,1996,0,'scam_free',51,'scam_free',T
end,2203,0,'scam_free',52,'scam_free',T
of,1997,0,'scam_free',53,'scam_free',T
september,2244,0,'scam_free',54,'scam_free',T
to,2000,0,'scam_free',55,'scam_free',T
avoid,4468,0,'scam_free',56,'scam_free',T
a,1037,0,'scam_free',57,'scam_free',T
lawsuit,9870,0,'scam_free',58,'scam_free',T
.,1012,0,'scam_free',59,'scam_free',T
searching,6575,0,'scam_free',60,'scam_free',T
for,2005,0,'scam_free',61,'scam_free',T
the,1996,0,'scam_free',62,'scam_free',T
email,10373,0,'scam_free',63,'scam_free',T
address,4769,0,'scam_free',64,'scam_free',T
online,3784,0,'scam_free',65,'scam_free',T
leads,5260,0,'scam_free',66,'scam_free',T
to,2000,0,'scam_free',67,'scam_free',T
an,2019,0,'scam_free',68,'scam_free',T
official,2880,0,'scam_free',69,'scam_free',T
law,2375,0,'scam_free',70,'scam_free',T
firm,3813,0,'scam_free',71,'scam_free',T
website,4037,0,'scam_free',72,'scam_free',T
located,2284,0,'scam_free',73,'scam_free',T
in,1999,0,'scam_free',74,'scam_free',T
barcelona,7623,0,'scam_free',75,'scam_free',T
.,1012,0,'scam_free',76,'scam_free',T
shortly,3859,0,'scam_free',77,'scam_free',T
after,2044,0,'scam_free',78,'scam_free',T
the,1996,0,'scam_free',79,'scam_free',T
emails,22028,0,'scam_free',80,'scam_free',T
were,2020,0,'scam_free',81,'scam_free',T
sent,2741,0,'scam_free',82,'scam_free',T
out,2041,0,'scam_free',83,'scam_free',T
",",1010,0,'scam_free',84,'scam_free',T
the,1996,0,'scam_free',85,'scam_free',T
law,2375,0,'scam_free',86,'scam_free',T
firm,3813,0,'scam_free',87,'scam_free',T
di,4487,0,'scam_free',88,'scam_free',T
##so,6499,0,'scam_free',89,'scam_free',T
##wn,7962,0,'scam_free',90,'scam_free',T
##ed,2098,0,'scam_free',91,'scam_free',T
them,2068,0,'scam_free',92,'scam_free',T
",",1010,0,'scam_free',93,'scam_free',T
calling,4214,0,'scam_free',94,'scam_free',T
them,2068,0,'scam_free',95,'scam_free',T
a,1037,0,'scam_free',96,'scam_free',T
hoax,28520,0,'scam_free',97,'scam_free',T
.,1012,0,'scam_free',98,'scam_free',T
so,2061,0,'scam_free',99,'scam_free',T
far,2521,0,'scam_free',100,'scam_free',T
",",1010,0,'scam_free',101,'scam_free',T
police,2610,0,'scam_free',102,'scam_free',T
officials,4584,0,'scam_free',103,'scam_free',T
estimate,10197,0,'scam_free',104,'scam_free',T
that,2008,0,'scam_free',105,'scam_free',T
approximately,3155,0,'scam_free',106,'scam_free',T
5,1019,0,'scam_free',107,'scam_free',T
%,1003,0,'scam_free',108,'scam_free',T
of,1997,0,'scam_free',109,'scam_free',T
the,1996,0,'scam_free',110,'scam_free',T
recipients,15991,0,'scam_free',111,'scam_free',T
have,2031,0,'scam_free',112,'scam_free',T
paid,3825,0,'scam_free',113,'scam_free',T
the,1996,0,'scam_free',114,'scam_free',T
money,2769,0,'scam_free',115,'scam_free',T
.,1012,0,'scam_free',116,'scam_free',T
this,2023,0,'scam_free',117,'scam_free',T
sums,20571,0,'scam_free',118,'scam_free',T
to,2000,0,'scam_free',119,'scam_free',T
more,2062,0,'scam_free',120,'scam_free',T
than,2084,0,'scam_free',121,'scam_free',T
$,1002,0,'scam_free',122,'scam_free',T
17,2459,0,'scam_free',123,'scam_free',T
million,2454,0,'scam_free',124,'scam_free',T
that,2008,0,'scam_free',125,'scam_free',T
have,2031,0,'scam_free',126,'scam_free',T
been,2042,0,'scam_free',127,'scam_free',T
paid,3825,0,'scam_free',128,'scam_free',T
to,2000,0,'scam_free',129,'scam_free',T
the,1996,0,'scam_free',130,'scam_free',T
sc,8040,0,'scam_free',131,'scam_free',T
##am,3286,0,'scam_free',132,'scam_free',T
##mers,16862,0,'scam_free',133,'scam_free',T
.,1012,0,'scam_free',134,'scam_free',T
now,2085,0,'scam_free',135,'scam_free',T
",",1010,0,'scam_free',136,'scam_free',T
nearly,3053,0,'scam_free',137,'scam_free',T
4,1018,0,'scam_free',138,'scam_free',T
weeks,3134,0,'scam_free',139,'scam_free',T
later,2101,0,'scam_free',140,'scam_free',T
",",1010,0,'scam_free',141,'scam_free',T
the,1996,0,'scam_free',142,'scam_free',T
police,2610,0,'scam_free',143,'scam_free',T
have,2031,0,'scam_free',144,'scam_free',T
tracked,12808,0,'scam_free',145,'scam_free',T
down,2091,0,'scam_free',146,'scam_free',T
the,1996,0,'scam_free',147,'scam_free',T
internet,4274,0,'scam_free',148,'scam_free',T
cafe,7668,0,'scam_free',149,'scam_free',T
from,2013,0,'scam_free',150,'scam_free',T
which,2029,0,'scam_free',151,'scam_free',T
the,1996,0,'scam_free',152,'scam_free',T
emails,22028,0,'scam_free',153,'scam_free',T
were,2020,0,'scam_free',154,'scam_free',T
sent,2741,0,'scam_free',155,'scam_free',T
.,1012,0,'scam_free',156,'scam_free',T
after,2044,0,'scam_free',157,'scam_free',T
observing,14158,0,'scam_free',158,'scam_free',T
the,1996,0,'scam_free',159,'scam_free',T
cafe,7668,0,'scam_free',160,'scam_free',T
',1005,0,'scam_free',161,'scam_free',T
s,1055,0,'scam_free',162,'scam_free',T
camera,4950,0,'scam_free',163,'scam_free',T
footage,8333,0,'scam_free',164,'scam_free',T
",",1010,0,'scam_free',165,'scam_free',T
the,1996,0,'scam_free',166,'scam_free',T
police,2610,0,'scam_free',167,'scam_free',T
arrested,4727,0,'scam_free',168,'scam_free',T
a,1037,0,'scam_free',169,'scam_free',T
man,2158,0,'scam_free',170,'scam_free',T
and,1998,0,'scam_free',171,'scam_free',T
a,1037,0,'scam_free',172,'scam_free',T
woman,2450,0,'scam_free',173,'scam_free',T
(,1006,0,'scam_free',174,'scam_free',T
both,2119,0,'scam_free',175,'scam_free',T
52,4720,0,'scam_free',176,'scam_free',T
),1007,0,'scam_free',177,'scam_free',T
who,2040,0,'scam_free',178,'scam_free',T
were,2020,0,'scam_free',179,'scam_free',T
allegedly,9382,0,'scam_free',180,'scam_free',T
responsible,3625,0,'scam_free',181,'scam_free',T
for,2005,0,'scam_free',182,'scam_free',T
the,1996,0,'scam_free',183,'scam_free',T
sc,8040,0,'scam_free',184,'scam_free',T
##am,3286,0,'scam_free',185,'scam_free',T
.,1012,0,'scam_free',186,'scam_free',T
if,2065,0,'scam_free',187,'scam_free',T
found,2179,0,'scam_free',188,'scam_free',T
guilty,5905,0,'scam_free',189,'scam_free',T
",",1010,0,'scam_free',190,'scam_free',T
they,2027,0,'scam_free',191,'scam_free',T
face,2227,0,'scam_free',192,'scam_free',T
up,2039,0,'scam_free',193,'scam_free',T
to,2000,0,'scam_free',194,'scam_free',T
9,1023,0,'scam_free',195,'scam_free',T
years,2086,0,'scam_free',196,'scam_free',T
in,1999,0,'scam_free',197,'scam_free',T
prison,3827,0,'scam_free',198,'scam_free',T
.,1012,0,'scam_free',199,'scam_free',T
however,2174,0,'scam_free',200,'scam_free',T
",",1010,0,'scam_free',201,'scam_free',T
news,2739,0,'scam_free',202,'scam_free',T
outlets,11730,0,'scam_free',203,'scam_free',T
recently,3728,0,'scam_free',204,'scam_free',T
acquired,3734,0,'scam_free',205,'scam_free',T
access,3229,0,'scam_free',206,'scam_free',T
to,2000,0,'scam_free',207,'scam_free',T
the,1996,0,'scam_free',208,'scam_free',T
camera,4950,0,'scam_free',209,'scam_free',T
footage,8333,0,'scam_free',210,'scam_free',T
and,1998,0,'scam_free',211,'scam_free',T
found,2179,0,'scam_free',212,'scam_free',T
that,2008,0,'scam_free',213,'scam_free',T
the,1996,0,'scam_free',214,'scam_free',T
video,2678,0,'scam_free',215,'scam_free',T
material,3430,0,'scam_free',216,'scam_free',T
is,2003,0,'scam_free',217,'scam_free',T
of,1997,0,'scam_free',218,'scam_free',T
very,2200,0,'scam_free',219,'scam_free',T
poor,3532,0,'scam_free',220,'scam_free',T
quality,3737,0,'scam_free',221,'scam_free',T
and,1998,0,'scam_free',222,'scam_free',T
therefore,3568,0,'scam_free',223,'scam_free',T
potentially,9280,0,'scam_free',224,'scam_free',T
unreliable,23579,0,'scam_free',225,'scam_free',T
.,1012,0,'scam_free',226,'scam_free',T
thanks,4283,1,'smuggler_free',0,'smuggler_free',F
to,2000,1,'smuggler_free',1,'smuggler_free',F
a,1037,1,'smuggler_free',2,'smuggler_free',F
routine,9410,1,'smuggler_free',3,'smuggler_free',F
cargo,6636,1,'smuggler_free',4,'smuggler_free',F
vessel,6258,1,'smuggler_free',5,'smuggler_free',F
check,4638,1,'smuggler_free',6,'smuggler_free',F
",",1010,1,'smuggler_free',7,'smuggler_free',F
the,1996,1,'smuggler_free',8,'smuggler_free',F
indonesian,9003,1,'smuggler_free',9,'smuggler_free',F
police,2610,1,'smuggler_free',10,'smuggler_free',F
were,2020,1,'smuggler_free',11,'smuggler_free',F
able,2583,1,'smuggler_free',12,'smuggler_free',F
to,2000,1,'smuggler_free',13,'smuggler_free',F
prevent,4652,1,'smuggler_free',14,'smuggler_free',F
a,1037,1,'smuggler_free',15,'smuggler_free',F
smuggling,19535,1,'smuggler_free',16,'smuggler_free',F
attempt,3535,1,'smuggler_free',17,'smuggler_free',F
.,1012,1,'smuggler_free',18,'smuggler_free',F
they,2027,1,'smuggler_free',19,'smuggler_free',F
found,2179,1,'smuggler_free',20,'smuggler_free',F
150,5018,1,'smuggler_free',21,'smuggler_free',F
exotic,12564,1,'smuggler_free',22,'smuggler_free',F
birds,5055,1,'smuggler_free',23,'smuggler_free',F
stuffed,11812,1,'smuggler_free',24,'smuggler_free',F
into,2046,1,'smuggler_free',25,'smuggler_free',F
plastic,6081,1,'smuggler_free',26,'smuggler_free',F
drain,12475,1,'smuggler_free',27,'smuggler_free',F
pipes,12432,1,'smuggler_free',28,'smuggler_free',F
that,2008,1,'smuggler_free',29,'smuggler_free',F
were,2020,1,'smuggler_free',30,'smuggler_free',F
sealed,10203,1,'smuggler_free',31,'smuggler_free',F
at,2012,1,'smuggler_free',32,'smuggler_free',F
each,2169,1,'smuggler_free',33,'smuggler_free',F
end,2203,1,'smuggler_free',34,'smuggler_free',F
by,2011,1,'smuggler_free',35,'smuggler_free',F
a,1037,1,'smuggler_free',36,'smuggler_free',F
wire,7318,1,'smuggler_free',37,'smuggler_free',F
.,1012,1,'smuggler_free',38,'smuggler_free',F
the,1996,1,'smuggler_free',39,'smuggler_free',F
animals,4176,1,'smuggler_free',40,'smuggler_free',F
were,2020,1,'smuggler_free',41,'smuggler_free',F
meant,3214,1,'smuggler_free',42,'smuggler_free',F
to,2000,1,'smuggler_free',43,'smuggler_free',F
be,2022,1,'smuggler_free',44,'smuggler_free',F
transported,9687,1,'smuggler_free',45,'smuggler_free',F
to,2000,1,'smuggler_free',46,'smuggler_free',F
the,1996,1,'smuggler_free',47,'smuggler_free',F
us,2149,1,'smuggler_free',48,'smuggler_free',F
",",1010,1,'smuggler_free',49,'smuggler_free',F
where,2073,1,'smuggler_free',50,'smuggler_free',F
they,2027,1,'smuggler_free',51,'smuggler_free',F
were,2020,1,'smuggler_free',52,'smuggler_free',F
to,2000,1,'smuggler_free',53,'smuggler_free',F
be,2022,1,'smuggler_free',54,'smuggler_free',F
sold,2853,1,'smuggler_free',55,'smuggler_free',F
as,2004,1,'smuggler_free',56,'smuggler_free',F
pets,18551,1,'smuggler_free',57,'smuggler_free',F
.,1012,1,'smuggler_free',58,'smuggler_free',F
the,1996,1,'smuggler_free',59,'smuggler_free',F
operation,3169,1,'smuggler_free',60,'smuggler_free',F
was,2001,1,'smuggler_free',61,'smuggler_free',F
planned,3740,1,'smuggler_free',62,'smuggler_free',F
and,1998,1,'smuggler_free',63,'smuggler_free',F
executed,6472,1,'smuggler_free',64,'smuggler_free',F
by,2011,1,'smuggler_free',65,'smuggler_free',F
a,1037,1,'smuggler_free',66,'smuggler_free',F
wildlife,6870,1,'smuggler_free',67,'smuggler_free',F
trafficking,11626,1,'smuggler_free',68,'smuggler_free',F
ring,3614,1,'smuggler_free',69,'smuggler_free',F
.,1012,1,'smuggler_free',70,'smuggler_free',F
this,2023,1,'smuggler_free',71,'smuggler_free',F
delivery,6959,1,'smuggler_free',72,'smuggler_free',F
