tensor,attention,story_id,token_id
1037,0.00676120538264513,0,0
2934,0.00648765591904521,0,1
1999,0.006389015354216099,0,2
1996,0.006233410909771919,0,3
23700,0.0063951206393539906,0,4
2533,0.006233255844563246,0,5
2012,0.006176989991217852,0,6
2522,0.005622078664600849,0,7
22573,0.005762319080531597,0,8
2078,0.005941665265709162,0,9
2118,0.005998249631375074,0,10
2038,0.005649561993777752,0,11
2042,0.005905012600123882,0,12
5496,0.005799498409032822,0,13
1997,0.0059888591058552265,0,14
4424,0.006475749425590038,0,15
16011,0.006198251154273748,0,16
1012,0.006157815456390381,0,17
2340,0.0061209131963551044,0,18
2308,0.006176395807415247,0,19
1010,0.005833501927554607,0,20
2035,0.0060942149721086025,0,21
1997,0.0063162026926875114,0,22
2068,0.00614050542935729,0,23
2280,0.006156779360026121,0,24
4619,0.006427070125937462,0,25
2493,0.006266613025218248,0,26
1999,0.006247256882488728,0,27
1996,0.00618317723274231,0,28
2533,0.006163676735013723,0,29
1010,0.006068969611078501,0,30
2031,0.006003877148032188,0,31
2272,0.006066498346626759,0,32
2830,0.006459973286837339,0,33
2007,0.006726010702550411,0,34
3441,0.006609064992517233,0,35
2055,0.006456769071519375,0,36
11268,0.006299418397247791,0,37
1012,0.006404565181583166,0,38
3958,0.006128359120339155,0,39
3044,0.006102477200329304,0,40
1012,0.005893329158425331,0,41
1996,0.005777345970273018,0,42
2862,0.005753921810537577,0,43
1997,0.006148949731141329,0,44
9989,0.005884803365916014,0,45
2114,0.005894534755498171,0,46
3044,0.005925002973526716,0,47
2950,0.006058675702661276,0,48
4703,0.006331550423055887,0,49
15591,0.006541114300489426,0,50
2006,0.006958153564482927,0,51
2308,0.007065304554998875,0,52
1005,0.007241586223244667,0,53
1055,0.007173004560172558,0,54
3311,0.006906092632561922,0,55
1010,0.006786322686821222,0,56
6932,0.00720606092363596,0,57
2493,0.006772190798074007,0,58
2000,0.006785635370761156,0,59
2031,0.006926459260284901,0,60
6295,0.006981700658798218,0,61
2007,0.006973805837333202,0,62
2032,0.007106836885213852,0,63
1999,0.007052911911159754,0,64
2010,0.006860102992504835,0,65
2797,0.007009400054812431,0,66
2188,0.006785821635276079,0,67
1010,0.006438813172280788,0,68
1998,0.006353304255753756,0,69
9936,0.006902545224875212,0,70
2195,0.006996546406298876,0,71
2980,0.007122625131160021,0,72
1011,0.007065420504659414,0,73
14366,0.006964013911783695,0,74
4243,0.006943729240447283,0,75
2008,0.006901660468429327,0,76
2443,0.006829926744103432,0,77
16371,0.007004144601523876,0,78
25469,0.006740468554198742,0,79
1010,0.006585743278264999,0,80
2029,0.006578350905328989,0,81
2493,0.006314013618975878,0,82
2020,0.006461390759795904,0,83
2556,0.006467833649367094,0,84
2012,0.006554801482707262,0,85
1012,0.006315165665000677,0,86
9390,0.006298884283751249,0,87
2036,0.0062944889068603516,0,88
4366,0.00625068973749876,0,89
2008,0.006378017831593752,0,90
2009,0.006348016206175089,0,91
2001,0.0063309683464467525,0,92
2092,0.006248730234801769,0,93
1011,0.005935878027230501,0,94
2124,0.006132081151008606,0,95
2008,0.006462868303060532,0,96
3044,0.006468638312071562,0,97
5117,0.0067366729490458965,0,98
1999,0.006904195994138718,0,99
1037,0.0069370027631521225,0,100
2186,0.006790542975068092,0,101
1997,0.006949333008378744,0,102
21864,0.0066694957204163074,0,103
2094,0.0067291525192558765,0,104
