story_tokenized,tensor,story_id,story,token_id
two,2048,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,0
boys,3337,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,1
were,2020,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,2
charged,5338,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,3
with,2007,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,4
killing,4288,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,5
a,1037,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,6
bee,10506,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,7
##hi,4048,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,8
##ve,3726,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,9
.,1012,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,10
they,2027,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,11
killed,2730,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,12
have,2031,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,13
the,1996,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,14
bees,13734,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,15
.,1012,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,16
they,2027,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,17
are,2024,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,18
facing,5307,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,19
jail,7173,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,20
time,2051,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,21
.,1012,0,two boys were charged with killing a beehive. they killed have the bees. they are facing jail time.,22
on,2006,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",0
august,2257,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",1
30,2382,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",2
",",1010,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",3
2018,2760,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",4
",",1010,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",5
30,2382,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",6
",",1010,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",7
000,2199,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",8
people,2111,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",9
in,1999,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",10
spain,3577,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",11
received,2363,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",12
a,1037,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",13
fraud,9861,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",14
email,10373,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",15
that,2008,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",16
accused,5496,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",17
them,2068,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",18
of,1997,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",19
illegally,17800,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",20
distributing,20083,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",21
pornographic,26932,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",22
content,4180,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",23
and,1998,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",24
threatened,5561,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",25
to,2000,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",26
take,2202,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",27
legal,3423,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",28
action,2895,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",29
and,1998,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",30
sue,9790,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",31
if,2065,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",32
a,1037,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",33
fine,2986,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",34
of,1997,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",35
$,1002,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",36
11,2340,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",37
